Year,avgtemp,avgprcp,avgwind
1980,110,222,2133
1981,132,298,1847
1982,110,251,1946
1983,110,247,2011
1984,107,243,2161
1985,135,276,2002
1986,129,308,1996
1987,116,279,1893
1988,96,191,1964
1989,114,243,2053
1990,134,289,2026
1991,144,352,1866
1992,135,316,1877
1993,116,261,2165
1994,129,284,1919
1995,126,260,1904
1996,104,232,2172
1997,137,325,1775
1998,131,275,1930
1999,97,198,1809
2000,114,267,1872
2001,129,287,1740
2002,132,296,1848
2003,102,224,1797
2004,144,362,1725
2005,93,197,1747
2006,116,233,1917
2007,141,346,1715
2008,104,216,2185
2009,116,272,2232
2010,125,254,2234
2011,88,139,2770
2012,116,220,2492
2013,123,236,2615
2014,103,204,2988
